Juego;Sesion;id_usuario;num_periodo;id_tipo;id_grupo;punto_ideal;se_postula;num_votos; num_votos2;balance_ini;balance
A;1;7;21;R;331;50;1;25;0;344;337
A;1;7;22;R;338;80;1;46;0;337;327
A;1;7;23;R;347;50;1;61;0;327;347
A;1;7;24;R;353;50;1;61;0;347;367
A;1;7;25;R;361;50;1;61;0;367;387
A;1;7;26;R;367;50;1;66;0;387;407
A;1;7;27;R;375;30;1;41;0;407;400
A;1;7;28;R;380;50;1;25;0;400;393
A;1;7;29;R;387;50;1;60;0;393;413
A;1;7;30;R;395;80;1;36;0;413;403
A;1;8;1;P;171;30;1;41;0;140;131
A;1;8;2;P;178;50;1;20;0;131;124
A;1;8;3;P;182;70;1;41;0;124;144
A;1;8;1;R;189;30;1;40;0;140;160
A;1;8;2;R;199;50;0;0;0;160;158
A;1;8;3;R;204;30;1;51;0;158;178
A;1;8;4;R;214;50;1;60;0;178;198
A;1;8;5;R;221;50;1;19;0;198;191
A;1;8;6;R;223;70;1;50;0;191;182
A;1;8;7;R;234;70;1;41;0;182;175
A;1;8;8;R;238;50;0;0;0;175;173
A;1;8;9;R;246;30;1;101;0;173;193
A;1;8;10;R;254;30;1;41;0;193;213
A;1;8;11;R;263;50;1;20;0;213;206
A;1;8;12;R;267;30;1;51;0;206;226
A;1;8;13;R;275;50;0;0;0;226;224
A;1;8;14;R;284;30;1;40;0;224;215
A;1;8;15;R;287;70;1;50;0;215;206
A;1;8;16;R;295;50;1;60;0;206;226
A;1;8;17;R;302;30;1;56;0;226;246
A;1;8;18;R;310;50;1;25;0;246;239
A;1;8;19;R;317;30;1;101;0;239;259
A;1;8;20;R;321;30;1;40;0;259;252
A;1;8;21;R;329;50;1;25;0;252;245
A;1;8;22;R;336;30;1;40;0;245;238
A;1;8;23;R;343;80;1;35;0;238;228
A;1;8;24;R;352;30;1;41;0;228;221
A;1;8;25;R;361;30;1;40;0;221;214
A;1;8;26;R;365;30;1;41;0;214;234
A;1;8;27;R;374;80;1;35;0;234;224
A;1;8;28;R;381;30;1;40;0;224;244
A;1;8;29;R;389;30;1;41;0;244;264
A;1;8;30;R;391;80;1;36;0;264;256
A;1;9;1;P;169;50;1;20;0;140;133
A;1;9;2;P;178;30;1;41;0;133;153
A;1;9;3;P;186;70;1;40;0;153;144
A;1;9;1;R;193;50;0;0;0;140;138
A;1;9;2;R;199;30;1;51;0;138;158
A;1;9;3;R;206;70;1;51;0;158;178
A;1;9;4;R;210;50;0;0;0;178;176
A;1;9;5;R;219;50;0;0;0;176;174
A;1;9;6;R;224;30;1;41;0;174;165
A;1;9;7;R;233;70;1;41;0;165;185
A;1;9;8;R;239;50;0;0;0;185;183
A;1;9;9;R;247;30;1;40;0;183;174
A;1;9;10;R;256;30;1;41;0;174;167
A;1;9;11;R;261;50;0;0;0;167;165
A;1;9;12;R;268;30;1;40;0;165;156
A;1;9;13;R;276;30;1;101;0;156;176
A;1;9;14;R;280;30;1;40;0;176;167
A;1;9;15;R;287;50;0;0;0;167;165
A;1;9;16;R;298;50;1;24;0;165;158
A;1;9;17;R;303;80;1;35;0;158;148
A;1;9;18;R;310;30;1;41;0;148;168
A;1;9;19;R;315;30;1;41;0;168;161
A;1;9;20;R;324;80;1;101;0;161;181
A;1;9;21;R;329;80;1;36;0;181;171
A;1;9;22;R;339;30;1;40;0;171;164
A;1;9;23;R;344;50;1;60;0;164;184
A;1;9;24;R;350;30;1;40;0;184;204
A;1;9;25;R;357;30;1;40;0;204;224
A;1;9;26;R;365;50;1;25;0;224;217
A;1;9;27;R;375;50;1;60;0;217;237
A;1;9;28;R;380;30;1;40;0;237;257
A;1;9;29;R;388;80;1;35;0;257;247
A;1;9;30;R;392;30;1;41;0;247;240
A;1;10;1;P;168;50;1;61;0;140;160
A;1;10;2;P;177;50;1;21;0;160;153
A;1;10;3;P;181;70;1;40;0;153;146
A;1;10;1;R;188;30;1;41;0;140;160
A;1;10;2;R;195;30;1;41;0;160;153
A;1;10;3;R;207;30;1;51;0;153;173
A;1;10;4;R;211;50;1;19;0;173;166
A;1;10;5;R;216;50;1;21;0;166;159
A;1;10;6;R;227;30;1;41;0;159;179
A;1;10;7;R;230;50;0;0;0;179;177
A;1;10;8;R;237;50;1;60;0;177;197
A;1;10;9;R;249;70;1;40;0;197;188
A;1;10;10;R;256;50;1;60;0;188;208
A;1;10;11;R;263;70;1;41;0;208;228
